TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,LevelNumber,Type,Scenario,Category,ImagesToFind,Columns,Rows,ObjectiveVisible,HintsActive,SelectedImage,CorrectImages,Wrong Images
61949.716,1629.683,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.717,1629.682,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.718,1629.68,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.720,1629.679,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.728,1629.678,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.729,1629.67,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.730,1629.668,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.732,1629.667,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.732,1629.666,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.735,1629.665,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.743,1629.663,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.745,1629.655,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.746,1629.653,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.748,1629.652,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.749,1629.65,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.750,1629.649,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.751,1629.648,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.752,1629.647,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.758,1629.645,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.760,1629.639,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.761,1629.638,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.763,1629.636,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.773,1629.635,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.775,1629.624,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.790,1629.623,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.791,1629.608,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.793,1629.606,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.794,1629.605,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.805,1629.603,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.806,1629.593,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.807,1629.592,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.808,1629.591,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.809,1629.589,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.820,1629.588,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.823,1629.577,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.824,1629.574,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.837,1629.573,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.838,1629.561,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.852,1629.56,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.854,1629.546,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.855,1629.544,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.857,1629.543,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.858,1629.542,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.859,1629.54,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.860,1629.539,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.862,1629.538,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.867,1629.536,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.868,1629.531,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.870,1629.529,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.871,1629.528,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.872,1629.526,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.874,1629.525,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.875,1629.524,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.883,1629.523,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.884,1629.515,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.886,1629.514,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.887,1629.512,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.888,1629.511,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.890,1629.51,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.891,1629.508,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.892,1629.507,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61949.893,1629.506,Home,0,0.893,-1.45,0,0,PlayRehatask,0,10,1,NaN,Sequence,3,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
