TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
62108.182,1515.46,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.185,1515.458,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.187,1515.455,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.190,1515.452,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.193,1515.449,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.196,1515.447,City,8.099995,1.510022,90.22188,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.199,1515.444,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.202,1515.441,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.204,1515.438,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.207,1515.435,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.210,1515.432,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.214,1515.43,City,8.099995,1.510022,90.22189,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.217,1515.426,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.219,1515.423,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.222,1515.42,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.225,1515.417,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.228,1515.415,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.231,1515.412,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.235,1515.409,City,8.099995,1.510022,90.22191,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.238,1515.404,City,8.099995,1.510022,90.22192,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.242,1515.402,City,8.099995,1.510022,90.22192,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.246,1515.398,City,8.099995,1.510022,90.22192,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.261,1515.393,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.264,1515.379,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.268,1515.376,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.270,1515.373,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.273,1515.37,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.276,1515.367,City,8.099995,1.510022,90.22194,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.279,1515.364,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.282,1515.361,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.285,1515.358,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.287,1515.355,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.291,1515.352,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.294,1515.349,City,8.099995,1.510022,90.22195,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.298,1515.346,City,8.099995,1.510022,90.22197,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.300,1515.343,City,8.099995,1.510022,90.22197,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.307,1515.339,City,8.099995,1.510022,90.22197,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.311,1515.332,City,8.099995,1.510022,90.22197,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.314,1515.329,City,8.099995,1.510022,90.22197,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.317,1515.326,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.321,1515.323,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.324,1515.319,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.326,1515.316,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.329,1515.313,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.331,1515.311,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.335,1515.308,City,8.099995,1.510022,90.22198,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.337,1515.305,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.341,1515.302,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.344,1515.299,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.347,1515.296,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.351,1515.292,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.354,1515.289,City,8.099995,1.510022,90.222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.358,1515.286,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.360,1515.282,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.364,1515.279,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.367,1515.277,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.369,1515.273,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.373,1515.271,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.375,1515.267,City,8.099995,1.510022,90.22202,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.378,1515.264,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.381,1515.262,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.384,1515.258,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.387,1515.255,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.390,1515.253,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.393,1515.25,City,8.099995,1.510022,90.22203,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.399,1515.247,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.401,1515.242,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.404,1515.239,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.409,1515.235,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.411,1515.231,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.415,1515.229,City,8.099995,1.510022,90.22205,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.418,1515.225,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.420,1515.222,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.423,1515.219,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.426,1515.217,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.429,1515.214,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.432,1515.211,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.435,1515.208,City,8.099995,1.510022,90.22206,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.438,1515.205,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.441,1515.202,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.443,1515.199,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.447,1515.197,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.449,1515.193,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.452,1515.191,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.455,1515.188,City,8.099995,1.510022,90.22208,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.459,1515.184,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.461,1515.182,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.464,1515.179,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.467,1515.176,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.470,1515.173,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.473,1515.17,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.475,1515.167,City,8.099995,1.510022,90.22209,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.479,1515.165,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.482,1515.161,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.484,1515.158,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.487,1515.155,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.491,1515.152,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.494,1515.15,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.496,1515.146,City,8.099995,1.510022,90.22211,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.500,1515.144,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.502,1515.141,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.505,1515.138,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.507,1515.135,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.511,1515.132,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.515,1515.129,City,8.099995,1.510022,90.22212,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.518,1515.125,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.520,1515.122,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.523,1515.12,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.526,1515.117,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.530,1515.114,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.533,1515.11,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.535,1515.107,City,8.099995,1.510022,90.22214,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.539,1515.105,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.542,1515.102,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.545,1515.098,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.550,1515.094,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.552,1515.09,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.556,1515.087,City,8.099995,1.510022,90.22215,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.559,1515.084,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.562,1515.081,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.565,1515.078,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.568,1515.075,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.571,1515.072,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.574,1515.068,City,8.099995,1.510022,90.22217,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.577,1515.065,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.580,1515.063,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.583,1515.06,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.586,1515.057,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.590,1515.054,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.593,1515.05,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.596,1515.047,City,8.099995,1.510022,90.22218,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.599,1515.044,City,8.099995,1.510022,90.2222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.602,1515.041,City,8.099995,1.510022,90.2222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.605,1515.038,City,8.099995,1.510022,90.2222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62108.607,1515.035,City,8.099995,1.510022,90.2222,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
